epoch,test_acc
0,0.2149
1,0.4532
2,0.7898
3,0.8958
4,0.9177
5,0.9364
6,0.9463
7,0.9473
8,0.9568
9,0.957
10,0.9663
11,0.9671
12,0.9689
13,0.9683
14,0.9725
15,0.9703
16,0.9749
17,0.9766
18,0.9761
19,0.9771
20,0.9778
21,0.9778
22,0.9779
23,0.9787
24,0.9818
25,0.9809
26,0.983
27,0.9809
28,0.9828
29,0.9835
30,0.9823
31,0.9809
32,0.9798
33,0.9849
34,0.9809
35,0.9839
36,0.9852
37,0.9842
38,0.9843
39,0.9852
40,0.9839
41,0.9849
42,0.9842
43,0.9853
44,0.9871
45,0.9863
46,0.9851
47,0.9857
48,0.9865
49,0.987
50,0.9858
51,0.9863
52,0.9852
53,0.9873
54,0.9871
55,0.9859
56,0.9877
57,0.9868
58,0.9849
59,0.9867
60,0.9868
61,0.9856
62,0.9869
63,0.9874
64,0.9882
65,0.9847
66,0.9874
67,0.9857
68,0.9861
69,0.9888
70,0.9878
71,0.9871
72,0.9878
73,0.9853
74,0.9875
75,0.9875
76,0.9866
77,0.9884
78,0.9882
79,0.9881
80,0.9869
81,0.9853
82,0.9785
83,0.9882
84,0.9887
85,0.9882
86,0.9875
87,0.9874
88,0.9848
89,0.9888
